t_ns,id,duration_ns
11561087800,step.unity.e2e,200113000
11561144900,step.socket.send,7400
11761919300,step.socket.parse,538600
11761919300,step.socket.wait,200825600
11761990000,step.unity.apply,40000
11761990000,step.unity.e2e,200896300
11762849600,step.socket.send,12100
11952671700,step.socket.parse,394500
11952671700,step.socket.wait,189902100
11952711000,step.unity.apply,22900
11952711000,step.unity.e2e,189941400
11952768700,step.socket.send,9200
12152672600,step.socket.parse,353500
12152672600,step.socket.wait,199955900
12152721300,step.unity.apply,32000
12152721300,step.unity.e2e,200004600
12152779400,step.socket.send,8400
12370819200,step.socket.parse,465400
12370819200,step.socket.wait,218092500
12370880900,step.unity.apply,34800
12370880900,step.unity.e2e,218154200
12370953600,step.socket.send,12400
12569163700,step.socket.parse,405700
12569163700,step.socket.wait,198276000
12569206300,step.unity.apply,24700
12569206300,step.unity.e2e,198318600
12569267900,step.socket.send,9600
12773104000,step.socket.parse,501900
12773104000,step.socket.wait,203891300
12773177500,step.unity.apply,48800
12773177500,step.unity.e2e,203964800
12773267100,step.socket.send,21400
12962106300,step.socket.parse,383100
12962106300,step.socket.wait,188920000
12962165600,step.unity.apply,40500
12962165600,step.unity.e2e,188979300
12962249300,step.socket.send,8300
13161975600,step.socket.parse,441900
13161975600,step.socket.wait,199791700
13162041800,step.unity.apply,37400
13162041800,step.unity.e2e,199857900
13162108000,step.socket.send,8900
13361931900,step.socket.parse,438100
13361931900,step.socket.wait,199882700
13361988500,step.unity.apply,35000
13361988500,step.unity.e2e,199939300
13362058600,step.socket.send,9600
13563249600,step.socket.parse,551600
13563249600,step.socket.wait,201254300
13563305600,step.unity.apply,35500
13563305600,step.unity.e2e,201310300
13563388400,step.socket.send,10400
13761906200,step.socket.parse,503300
13761906200,step.socket.wait,198591100
13761978500,step.unity.apply,41600
13761978500,step.unity.e2e,198663400
13762059400,step.socket.send,10900
13961812900,step.socket.parse,392400
13961812900,step.socket.wait,199825700
13961868500,step.unity.apply,32900
13961868500,step.unity.e2e,199881300
13961932500,step.socket.send,8600
14161809400,step.socket.parse,420100
14161809400,step.socket.wait,199934500
14161881800,step.unity.apply,36100
14161881800,step.unity.e2e,200006900
14161948100,step.socket.send,9200
14362132700,step.socket.parse,417200
14362132700,step.socket.wait,200244800
14362207700,step.unity.apply,36300
14362207700,step.unity.e2e,200319800
14362279100,step.socket.send,8700
14562755500,step.socket.parse,512600
14562755500,step.socket.wait,200541300
14562832400,step.unity.apply,42300
